v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8,v_9,v_10,target
-0.9712700000000001,-0.56128,1.20414,2.25145,-0.25801999999999997,0.06246,-1.78623,-0.2769,-0.22255,0.20963,-0.062201913846625725
0.89456,-0.94099,-0.19972,-0.08354,-0.96865,0.6280100000000001,0.91543,0.20413,-0.13587,0.9682,0.11259640853527456
-0.98777,-0.55565,-0.9414100000000001,-1.86277,0.38659,-0.025230000000000002,-1.26714,1.07328,-0.2835,0.3443,0.16763338730449873
0.03972,-0.9925799999999999,0.63481,0.01554,-0.39203000000000005,-0.72647,0.46098,0.79395,0.22685999999999998,0.25065,-0.8447265454179307
-1.66022,-0.06734,-0.7225199999999999,-1.32035,0.06715,2.3993700000000002,-1.30566,-0.65222,0.36628,0.31644,2.2219419957619055
-0.06192999999999999,-0.31315,0.40971,-0.06273,-0.23531999999999997,-2.3309,1.3933799999999998,-0.018000000000000002,1.12154,-0.24611999999999998,-2.2311377453651327
1.08216,0.0921,-1.0624,1.54714,0.16045,-0.5479999999999999,-0.18579,0.76067,-0.03081,-0.85315,-0.4164187590378041
-0.53747,-0.34699,0.29184,0.7408100000000001,-0.51232,-0.75353,-0.08046,2.49355,0.02462,-0.43563,-0.9262635533678651
2.1730099999999997,0.52304,2.0979400000000004,0.62695,1.72127,0.30223,1.7663099999999998,1.0479100000000001,0.0361,-0.12267,1.10434478474017
1.04674,0.053360000000000005,1.88825,0.11623,-0.55703,0.52799,1.8076400000000001,0.8464200000000001,-0.12673,0.42762,0.2186253176553228
-1.23043,-0.8734200000000001,-1.55441,-0.20536,0.46961,-0.57943,-1.67115,-0.33664,-0.14777,-1.47094,-0.2973840191806955
-0.5261,-0.40274,-0.6314,-0.27642,0.21181999999999998,0.64374,-0.28573000000000004,-1.0034100000000001,-0.53632,1.45814,0.6920516990630918
-0.88471,0.18133,-0.21218,0.30429,-2.53999,-0.51258,0.8271,1.0631899999999999,0.96793,0.05571,-1.678429226324032
0.8940899999999999,-0.29245,1.2794299999999998,-1.46575,0.1038,1.4349299999999998,0.06935,1.38484,0.8106399999999999,1.59313,1.3605382412875466
1.15309,-1.48698,0.74026,0.2527,0.13325,-0.4269,0.5522,-1.0637,-0.1512,0.5400699999999999,-0.3200024964246602
0.64731,0.9455399999999999,-2.26005,0.23053,-0.09283,2.58279,-0.25695,0.5142800000000001,-0.047869999999999996,-0.10189,2.3111031734744962
0.93663,0.25431,-0.73807,0.12237,0.55724,-0.07686,-0.34123000000000003,-1.4780799999999998,0.0813,-0.29234,0.20122562348329165
-0.24766999999999997,-1.0260200000000002,-2.1148700000000002,1.2113,-0.34979,-1.2010399999999999,0.54932,2.76836,-0.35903,1.93091,-1.2573659301081643
1.10086,-0.56679,-0.26061999999999996,-0.14365,0.5395800000000001,0.09602999999999999,-0.23431999999999997,0.69792,-0.3386,-0.45683999999999997,0.34961450310884057
1.0097,-0.17728,1.96512,2.1712599999999997,-1.04521,0.06858,-0.43683,-0.0428,-0.83191,0.16696,-0.4336772204601149
-0.11665,1.07654,-0.01526,1.35675,0.34611,0.69282,1.38614,-1.3548799999999999,1.10398,0.82571,0.8008538823836048
0.0015,2.0558099999999997,-0.14932,1.1678600000000001,1.53673,-1.10618,0.08800000000000001,-1.43907,-2.01478,0.96688,-0.26605748269297214
-0.9879700000000001,0.25877,0.53889,-0.10664000000000001,1.13476,0.58835,1.13734,-1.33128,1.59233,0.48084,1.084390502681714
0.37431,-0.33692,-0.014980000000000002,-0.14797000000000002,-0.72907,-0.27834000000000003,1.7624099999999998,0.26345,3.04029,1.6410099999999999,-0.5978379932125851
-1.7732,0.82376,-1.34965,-1.17099,0.10314000000000001,-1.2661799999999999,-0.38815,-0.28343,-0.29062,0.78872,-1.098430251375503
0.56343,0.13806,-2.30179,-0.15023,2.07661,-0.18850999999999998,2.84733,0.40254,0.85008,0.2202,0.8283502291697691
-2.78231,0.36791,-0.89076,0.56684,0.25224,-0.13652,-0.39354,-0.53393,-0.74219,-1.19038,0.0013125564232163264
-0.83301,-0.12800999999999998,2.17708,-0.08702,-0.00843,-0.2968,0.6201300000000001,-0.8709899999999999,-0.4824,-0.06164,-0.2699414554050746
1.18363,-1.08699,0.6562600000000001,-0.02985,1.43171,0.11060999999999999,0.40032,-0.51135,-1.8724299999999998,0.45293,0.7911160839340624
0.86244,0.21131999999999998,0.12988,-0.01563,0.41711000000000004,0.9954700000000001,0.4126,0.62722,-0.85085,0.80961,1.1112376365038101
0.60696,0.62895,0.42078000000000004,0.0587,-0.59841,-2.6461900000000003,0.07502,-1.47922,-0.05005,1.30485,-2.691238193186129
-0.1402,0.15416,-0.5515100000000001,0.2282,0.8847799999999999,0.7338600000000001,-0.09342,0.38327,0.96555,-1.28179,1.0961545513924746
0.04804,-0.57244,0.12675999999999998,-3.76664,0.51146,-0.26815,0.43448000000000003,-1.62005,0.14340999999999998,-1.17587,0.004929218350361823
0.3246,-1.70062,-0.99997,-0.12349,-0.28418000000000004,1.16934,1.01481,-0.85708,-1.32426,1.24645,0.933693060425938
1.12981,0.6126699999999999,-0.19676,-0.19045,1.44862,-1.2937,-0.96111,1.1554200000000001,1.3364,-1.2827,-0.47965770249235185
-0.94442,1.6573900000000001,0.09685,-1.30694,0.84785,1.20214,-1.76105,0.9048,-0.22002,-0.20506,1.505999254625556
0.09677999999999999,0.65988,0.41084,-1.8873,-2.32649,0.92563,-0.61674,-0.3911,-0.28362,-0.6449600000000001,-0.2674947718235613
0.68682,2.11152,1.35487,0.23188000000000003,-0.1345,0.38488,1.14751,-1.96295,-0.53379,1.69563,0.29043478177738963
-1.5951899999999999,0.01926,0.0384,-0.77562,-1.38009,-0.28736,-0.20401,-0.19758,0.03942,1.86578,-0.9172089528631658
-1.2073200000000002,0.01311,0.50137,-1.166,0.22171,-0.052239999999999995,1.4502700000000002,1.07621,-0.6059100000000001,-0.91238,0.06319717591184813
2.0085599999999997,0.69433,0.8725200000000001,0.41265,-1.45054,0.24899000000000002,1.14364,1.43803,-0.08435,0.68015,-0.4634595327091142
1.04375,-0.26368,0.30356,0.95575,0.02647,1.51434,-0.8282700000000001,0.36635,-0.9971899999999999,-0.74538,1.39636636358156
-0.23869,-0.8532299999999999,-1.9565099999999997,0.26552,-0.40353,-1.4671399999999999,-0.6058100000000001,1.7276,1.1177,0.45308999999999994,-1.5250130867916403
-0.0076,-2.65282,-1.39907,-0.43968,0.44256999999999996,-1.8322200000000002,-0.25692,-0.22065,-0.1692,0.58108,-1.45150971790839
1.50567,-1.18278,2.73837,0.52877,1.73072,-0.8286100000000001,1.5447799999999998,-0.69703,1.67265,0.19914,0.07930712515142428
-0.23745,0.2587,-1.2681799999999999,-0.8621,0.50885,-0.30921,0.13253,-1.17035,-0.5939399999999999,0.42051000000000005,-0.033626789766382656
0.17115,0.31379,0.5531699999999999,0.6776,-0.17539000000000002,0.43838,1.75082,-0.19809000000000002,0.16560999999999998,1.94213,0.3189876689395513
-0.49662,2.26004,-0.49403,-0.38863000000000003,-1.2401799999999998,-0.17782,2.37584,-1.02467,1.00483,1.16836,-0.7514488940383706
-0.5111600000000001,-0.22768000000000002,-0.14139000000000002,0.49649,-0.39734,-0.08406,0.87877,0.04328,0.36225999999999997,-0.7722100000000001,-0.26209009822991497
-0.06788999999999999,0.6401100000000001,-0.05245,-0.27235,-1.2990000000000002,-2.88331,-0.34897,-0.30258,-1.2889700000000002,-0.39469,-3.2435528551683364
0.42837,-0.65492,0.15242,0.29718,1.96311,0.46229,1.28964,-0.28026,2.65912,0.09544,1.3663379542550678
-0.36973,1.66412,1.57428,-0.9694799999999999,-0.21779,-0.61238,1.03441,0.85759,-1.72072,-0.59758,-0.6569187162842737
1.0702200000000002,-2.39857,1.27815,0.5551,-0.37004000000000004,-0.56682,-0.026080000000000002,-0.9607700000000001,-2.89071,1.7616900000000002,-0.6893105407509531
1.53328,-1.60101,-0.56201,-0.7854,-1.4524700000000001,-0.20651999999999998,-0.59828,0.27486,0.56777,-0.9497899999999999,-0.8786072299074404
-1.90629,-1.57322,-0.17885,0.8688,1.0891899999999999,-0.27843,-0.51155,0.29265,-0.63107,0.17056,0.2729965937448342
-0.2462,-0.38843,-0.9704,0.05806,2.54602,0.77183,0.74912,0.96349,-0.07443999999999999,1.19071,1.9268177101594077
-0.09449,1.23102,-1.8470799999999998,-1.27888,0.63485,-0.9495600000000001,-0.95909,-0.20956,-0.71163,0.28035,-0.5562556693196025
0.21499000000000001,0.21493,1.42082,-0.37182,0.056179999999999994,-0.3987,-0.19633,-0.18325999999999998,1.8703,2.2181900000000003,-0.3313825377602405
-0.7226,-0.31997,-0.38524,-0.31167,-0.39865,0.71012,-0.39808000000000004,-1.7311299999999998,1.38625,-0.40962,0.45962212383376055
0.85226,0.57527,0.5838300000000001,-2.17855,1.4051,-0.87815,0.7639600000000001,-0.5217,0.27095,-1.01216,-0.12189818097663913
-0.0773,-0.92195,1.53703,-1.7437200000000002,0.89995,-0.93753,0.14018,0.02421,0.31003000000000003,0.7068399999999999,-0.41796332998627256
0.03793,-0.2029,-1.08231,0.99877,0.42585,-0.98505,-1.56454,2.66319,-0.06347,-0.11589,-0.6883269447166429
